epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3423,2.36115,3.09246,2.16138,0.013,1,0.22312,0.08838,1.04525,2.70974,1.55831,6e-05,6e-05,6e-05
2,30.4679,2.23167,2.99614,1.997,0.013,1,0.50225,0.34842,0.72526,2.57911,1.31439,0.000139307,0.000139307,0.000139307
3,45.3574,1.52255,2.25883,1.54467,0.013,1,0.61721,0.43683,0.6959,2.51393,1.24194,0.000217822,0.000217822,0.000217822
4,59.4206,1.45279,1.72487,1.41617,0.013,1,0.32239,0.20834,0.84912,2.52987,1.33347,0.000295545,0.000295545,0.000295545
5,73.7744,1.31541,1.66173,1.33388,0.013,1,0.88643,0.62412,0.70423,2.41236,1.25923,0.000372476,0.000372476,0.000372476
6,88.1667,1.35066,1.6082,1.34291,0.013,1,0.8842,0.71544,0.63085,2.45232,1.18453,0.000448615,0.000448615,0.000448615
7,102.478,1.25762,1.52978,1.25087,0.013,1,0.70479,0.56138,0.71448,2.50025,1.19452,0.000523962,0.000523962,0.000523962
8,118.32,1.29805,1.44012,1.27286,0.24378,0.97436,0.91243,0.76225,0.65004,2.2734,1.16276,0.000598517,0.000598517,0.000598517
9,131.819,1.30686,1.42647,1.23839,1,0.18622,0.87443,0.6753,0.75829,2.24203,1.29768,0.00067228,0.00067228,0.00067228
10,145.675,1.17349,1.33488,1.18354,1,0.22509,0.78579,0.53822,0.92057,2.28911,1.3967,0.000745251,0.000745251,0.000745251
11,158.751,1.17009,1.31337,1.16195,1,0.34533,0.96214,0.63138,0.85317,2.20234,1.34546,0.00081743,0.00081743,0.00081743
12,172.801,1.08616,1.23306,1.12665,0.10163,0.82051,0.30908,0.17359,1.40556,2.58356,1.74047,0.000888817,0.000888817,0.000888817
13,186.556,1.15817,1.24969,1.17169,0.15952,0.48718,0.11854,0.04009,2.43299,2.76298,2.71951,0.000959412,0.000959412,0.000959412
14,201.319,1.19429,1.28012,1.15807,0.55553,0.25638,0.30664,0.14295,1.66743,2.60389,2.09935,0.00102922,0.00102922,0.00102922
15,215.18,1.18327,1.26773,1.18406,0.9688,0.76923,0.97553,0.72555,0.85619,1.84584,1.44154,0.00109823,0.00109823,0.00109823
16,229.384,1.16805,1.20912,1.18392,0.93501,0.73793,0.95466,0.7367,0.79996,1.87271,1.35126,0.00116645,0.00116645,0.00116645
17,243.459,1.14728,1.20378,1.19209,0.93582,0.74782,0.94901,0.71462,0.84831,1.84903,1.38562,0.00123387,0.00123387,0.00123387
18,257.954,1.17058,1.22351,1.16526,0.93449,0.87179,0.9092,0.67126,0.93191,1.53524,1.44669,0.00130051,0.00130051,0.00130051
19,272.139,1.15657,1.15665,1.14233,0.91183,0.71795,0.84637,0.56563,1.11464,1.58593,1.58197,0.00136635,0.00136635,0.00136635
