epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.41371,3.52963,6.48739,3.30467,0.00732,0.55298,0.02295,0.00675,2.24262,4.12414,2.2781,0,0,0
2,10.8702,3.52424,5.78434,3.21183,0.00724,0.55298,0.02548,0.00726,2.23572,4.12743,2.26746,1.24381e-05,1.24381e-05,1.24381e-05
3,12.2032,3.2207,5.74165,3.10895,0.00777,0.60238,0.02742,0.00719,2.21598,4.12195,2.24657,2.47525e-05,2.47525e-05,2.47525e-05
4,13.4545,3.58493,6.019,3.29541,0.00796,0.61429,0.02339,0.00644,2.20814,4.10828,2.24371,3.69431e-05,3.69431e-05,3.69431e-05
5,14.7179,3.5718,6.18261,3.16252,0.00787,0.61429,0.0238,0.00733,2.22282,4.0903,2.26344,4.901e-05,4.901e-05,4.901e-05
6,15.8712,3.22442,5.5659,2.77708,0.00775,0.61488,0.02219,0.00647,2.23281,4.09377,2.27041,6.09531e-05,6.09531e-05,6.09531e-05
7,17.0517,3.69127,6.25864,3.62157,0.00782,0.62738,0.02315,0.00682,2.24668,4.1034,2.27737,7.27725e-05,7.27725e-05,7.27725e-05
8,18.1663,3.26007,5.98197,3.1853,0.00756,0.60238,0.02443,0.00718,2.27416,4.09813,2.30498,8.44681e-05,8.44681e-05,8.44681e-05
9,19.2856,3.82463,6.30346,3.69572,0.00689,0.55298,0.02627,0.00811,2.29629,4.0993,2.30902,9.604e-05,9.604e-05,9.604e-05
10,20.5217,3.24767,5.83691,2.95678,0.00857,0.62679,0.03056,0.00959,2.28419,4.15359,2.28285,0.000107488,0.000107488,0.000107488
11,21.7998,2.88472,5.15579,2.58535,0.00973,0.57798,0.05292,0.0166,2.3541,4.20012,2.30261,0.000118812,0.000118812,0.000118812
