epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.40898,5.18433,6.91458,5.15635,3.27228,0,0,0,0,0,0,0,0,3.68202,12.2198,4.00078,2.42571,0,0,0
2,5.63409,4.36984,7.22823,5.67569,2.72626,0,0,0,0,0,0,0,0,3.67256,12.4784,3.98533,2.41919,1.99505e-05,1.99505e-05,1.99505e-05
3,7.0012,5.1968,7.77574,5.63447,3.24634,0,0,0,0,0,0,0,0,3.6327,12.8005,3.97167,2.39737,3.9802e-05,3.9802e-05,3.9802e-05
4,8.43942,5.00533,7.53042,5.67849,3.11615,0,0,0,0,0,0,0,0,3.56211,13.0694,3.95511,2.37891,5.95545e-05,5.95545e-05,5.95545e-05
5,9.29468,4.99523,6.62015,5.88568,3.15816,0,0,0,0,0,0,0,0,3.55608,13.3596,3.92319,2.35938,7.9208e-05,7.9208e-05,7.9208e-05
6,11.0044,4.84146,7.36738,5.1317,3.18415,0,0,0,0,0,0,0,0,3.51143,13.4318,3.88995,2.34266,9.87625e-05,9.87625e-05,9.87625e-05
7,12.2872,4.94198,8.57123,5.50777,2.92222,0.00333,0.02857,0.00181,0.00018,0,0,0,0,3.51651,13.527,3.90057,2.34247,0.000118218,0.000118218,0.000118218
8,13.7341,4.69045,6.97479,4.96689,3.17289,0.00333,0.02857,0.00182,0.00018,0,0,0,0,3.49939,13.7531,3.87699,2.33037,0.000137575,0.000137575,0.000137575
9,15.1238,4.83557,7.15533,5.01369,3.20155,0,0,0,0,0,0,0,0,3.57548,8.28676,3.88284,2.32551,0.000156832,0.000156832,0.000156832
10,16.7485,4.53844,4.19895,5.08023,2.67987,0.00333,0.02857,0.00282,0.00056,0.00333,0.02857,0.00282,0.00056,3.75257,5.94797,3.90876,2.27567,0.000175991,0.000175991,0.000175991
11,18.5602,4.31878,4.15855,4.72419,2.56218,0.00333,0.02857,0.00214,0.00021,0.00333,0.02857,0.00214,0.00043,3.53986,5.07984,3.82468,2.09938,0.00019505,0.00019505,0.00019505
12,20.0566,4.03352,3.70909,4.7883,2.06176,0.00333,0.02857,0.00179,0.00018,0.00333,0.02857,0.00186,0.00037,3.50825,4.62716,3.82249,2.12047,0.000214011,0.000214011,0.000214011
13,21.7198,3.78683,2.98209,4.19252,1.975,0,0,0,0,0,0,0,0,3.55648,4.40369,3.8068,2.13512,0.000232872,0.000232872,0.000232872
14,23.3973,3.25621,3.24368,3.98591,1.71041,0,0,0,0,0,0,0,0,3.43094,4.26452,3.72998,2.17725,0.000251634,0.000251634,0.000251634
15,25.79,2.93007,2.77773,3.75063,1.57222,0,0,0,0,0.00333,0.02857,0.00187,0.00019,3.31859,4.29353,3.67647,2.1648,0.000270298,0.000270298,0.000270298
16,27.8789,3.35625,3.86356,3.82765,1.61861,0,0,0,0,0,0,0,0,3.04201,4.54094,3.70413,2.17888,0.000288863,0.000288863,0.000288863
17,29.911,2.62842,2.88182,3.59792,1.37174,0.00333,0.02857,0.00173,0.00017,0,0,0,0,2.831,4.59642,3.68038,2.01179,0.000307328,0.000307328,0.000307328
18,30.8979,3.39811,3.0848,4.04315,1.51014,0.00333,0.02857,0.00173,0.00017,0,0,0,0,2.831,4.59642,3.68038,2.01179,0.000325695,0.000325695,0.000325695
19,32.2855,2.71106,2.62783,3.65654,1.44541,0.00333,0.02857,0.00187,0.00019,0.00333,0.02857,0.00202,0.0002,2.88433,4.24525,3.64729,1.71552,0.000343962,0.000343962,0.000343962
20,33.4609,3.16143,3.32762,3.53996,1.49731,0.00333,0.02857,0.00187,0.00019,0.00333,0.02857,0.00202,0.0002,2.88433,4.24525,3.64729,1.71552,0.000362131,0.000362131,0.000362131
21,35.7399,2.66536,2.84048,3.37505,1.46097,0.00333,0.02857,0.00203,0.0002,0,0,0,0,2.59025,3.94878,3.60728,1.50603,0.0003802,0.0003802,0.0003802
22,37.0737,2.69194,2.66561,3.55593,1.42406,0.00333,0.02857,0.00203,0.0002,0,0,0,0,2.59025,3.94878,3.60728,1.50603,0.00039817,0.00039817,0.00039817
23,38.2966,2.98751,2.92593,3.69545,1.39546,0.01,0.08571,0.0058,0.00058,0,0,0,0,2.5958,3.6484,3.5492,1.50874,0.000416042,0.000416042,0.000416042
24,40.7042,2.53678,3.03539,3.19912,1.46277,0.01,0.08571,0.0058,0.00058,0,0,0,0,2.5958,3.6484,3.5492,1.50874,0.000433815,0.000433815,0.000433815
25,42.5997,2.45364,2.74072,3.22428,1.36336,0.01,0.08571,0.00798,0.001,0.00667,0.05714,0.00428,0.00062,2.70236,3.34683,3.5263,1.47355,0.000451488,0.000451488,0.000451488
26,44.0525,2.40713,2.69883,3.31886,1.32661,0.01,0.08571,0.00798,0.001,0.00667,0.05714,0.00428,0.00062,2.70236,3.34683,3.5263,1.47355,0.000469063,0.000469063,0.000469063
27,45.8925,2.64366,2.76757,3.32989,1.38831,0.01,0.08571,0.00856,0.00214,0.00667,0.05714,0.00505,0.00163,2.5355,3.29182,3.52835,1.42128,0.000486538,0.000486538,0.000486538
28,47.5557,2.14461,2.44471,3.24146,1.34473,0.01,0.08571,0.00856,0.00214,0.00667,0.05714,0.00505,0.00163,2.5355,3.29182,3.52835,1.42128,0.000503915,0.000503915,0.000503915
29,49.5352,2.63851,2.74432,3.26148,1.40708,0.00667,0.05714,0.00512,0.00174,0.01,0.08571,0.00883,0.0017,2.44984,3.11834,3.50156,1.30577,0.000521192,0.000521192,0.000521192
30,51.4345,2.42881,2.92162,3.16359,1.38084,0.00667,0.05714,0.00512,0.00174,0.01,0.08571,0.00883,0.0017,2.44984,3.11834,3.50156,1.30577,0.00053837,0.00053837,0.00053837
31,52.6921,1.84596,2.58466,3.34526,1.18868,0.01,0.08571,0.02279,0.00307,0.01,0.08571,0.01062,0.00146,2.45558,2.99144,3.48841,1.27511,0.00055545,0.00055545,0.00055545
32,54.0251,1.97173,2.51228,3.14111,1.1994,0.01,0.08571,0.02279,0.00307,0.01,0.08571,0.01062,0.00146,2.45558,2.99144,3.48841,1.27511,0.000572431,0.000572431,0.000572431
33,55.2743,2.27293,2.55438,3.28533,1.26021,0.01,0.08571,0.01738,0.00348,0.00667,0.05714,0.01123,0.00136,2.34784,2.88768,3.48338,1.32595,0.000589312,0.000589312,0.000589312
