epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.8794,3.13066,4.99347,3.38718,2.20212,0.02,0.12766,0.01213,0.00578,0.01,0.06383,0.00538,0.00071,2.20443,4.40112,3.35989,1.72322,2e-05,2e-05,2e-05
2,40.1173,3.02606,5.24545,3.37639,2.06573,0.09333,0.59574,0.17419,0.08825,0.08,0.51064,0.15616,0.03793,2.03636,3.62968,2.38315,1.66791,5.9703e-05,5.9703e-05,5.9703e-05
3,60.3214,3.00045,3.97652,2.73099,2.07484,0.09667,0.61702,0.17307,0.08278,0.07333,0.46809,0.14071,0.04096,2.04811,3.60111,2.36565,1.66039,9.901e-05,9.901e-05,9.901e-05
4,77.087,2.87242,3.73542,2.5216,1.88352,0.23441,0.48936,0.2694,0.10832,0.08343,0.23404,0.05142,0.02062,2.23742,3.09118,5.20899,1.61612,0.000137921,0.000137921,0.000137921
5,97.4226,2.64382,3.10761,3.9251,1.73154,0.27167,0.40426,0.20799,0.06173,0.04,0.25532,0.03268,0.00977,2.52552,2.7263,2.37778,1.7427,0.000176436,0.000176436,0.000176436
6,115.766,2.51957,2.836,2.70815,1.63199,0.27167,0.40426,0.20799,0.06173,0.04,0.25532,0.03268,0.00977,2.52552,2.7263,2.37778,1.7427,0.000214555,0.000214555,0.000214555
7,138.089,2.31117,2.56017,2.66869,1.54913,0.28726,0.14894,0.15543,0.06424,0.03635,0.19149,0.02402,0.00569,2.3113,2.26104,6.75063,1.43572,0.000252278,0.000252278,0.000252278
8,159.429,2.31237,2.43515,2.51125,1.60491,0.33792,0.3617,0.26732,0.12641,0.13622,0.2766,0.09118,0.02505,2.00783,2.16265,5.20124,1.57689,0.000289605,0.000289605,0.000289605
9,178.154,1.9397,2.07808,1.95443,1.3986,0.33792,0.3617,0.26732,0.12641,0.13622,0.2766,0.09118,0.02505,2.00783,2.16265,5.20124,1.57689,0.000326536,0.000326536,0.000326536
10,197.407,2.0478,2.24198,1.87451,1.50797,0.1063,0.65957,0.11135,0.04465,0.03522,0.19149,0.0235,0.00653,2.16524,3.274,15.1614,1.70798,0.000363071,0.000363071,0.000363071
11,217.002,1.94652,2.25764,1.79994,1.4511,0.1063,0.65957,0.11135,0.04465,0.03522,0.19149,0.0235,0.00653,2.16524,3.274,15.1614,1.70798,0.00039921,0.00039921,0.00039921
12,234.354,1.80442,1.9827,1.83064,1.36659,0.1225,0.55319,0.09718,0.03418,0.06084,0.29787,0.04186,0.01055,2.34578,2.98965,17.5808,1.68329,0.000434953,0.000434953,0.000434953
13,253.156,1.84416,2.26124,1.76527,1.37085,0.1225,0.55319,0.09718,0.03418,0.06084,0.29787,0.04186,0.01055,2.34578,2.98965,17.5808,1.68329,0.0004703,0.0004703,0.0004703
14,273.411,2.04477,2.75645,1.81501,1.47587,0.1225,0.55319,0.09718,0.03418,0.06084,0.29787,0.04186,0.01055,2.34578,2.98965,17.5808,1.68329,0.000505251,0.000505251,0.000505251
